Entity,Code,Year,Green coffee - Yield (tonnes per hectare)
Angola,AGO,2024,0.3438
Belize,BLZ,2024,1.1806
Benin,BEN,2024,0.19450001
Bolivia,BOL,2024,0.9182001
Brazil,BRA,2024,1.7427
Burundi,BDI,2024,0.92880005
Cambodia,KHM,2024,0.7932001
Cameroon,CMR,2024,0.549
Cape Verde,CPV,2024,0.23180002
Central African Republic,CAF,2024,0.3443
China,CHN,2024,3.5640001
Colombia,COL,2024,1.0026001
Comoros,COM,2024,0.14230001
Congo,COG,2024,0.3039
Costa Rica,CRI,2024,0.753
Cote d'Ivoire,CIV,2024,0.12030001
Cuba,CUB,2024,0.33710003
Democratic Republic of Congo,COD,2024,0.39460003
Dominica,DMA,2024,0.8862001
Dominican Republic,DOM,2024,0.55
East Timor,TLS,2024,0.42360002
Ecuador,ECU,2024,0.2949
El Salvador,SLV,2024,0.24280001
Equatorial Guinea,GNQ,2024,0.36740002
Ethiopia,ETH,2024,0.6671
Fiji,FJI,2024,0.6381
Gabon,GAB,2024,0.38000003
Ghana,GHA,2024,1.6
Guatemala,GTM,2024,0.59800005
Guinea,GIN,2024,0.3928
Guyana,GUY,2024,0.81470007
Haiti,HTI,2024,0.51570004
Honduras,HND,2024,1.2148001
India,IND,2024,0.73870003
Indonesia,IDN,2024,0.6362001
Jamaica,JAM,2024,0.7961
Kenya,KEN,2024,0.43570003
Laos,LAO,2024,1.9067
Liberia,LBR,2024,0.23730001
Madagascar,MDG,2024,0.5659
Malawi,MWI,2024,2.9832
Malaysia,MYS,2024,2.0725
Mexico,MEX,2024,0.2948
Mozambique,MOZ,2024,0.98080003
Myanmar,MMR,2024,0.7145
Nepal,NPL,2024,0.1164
New Caledonia,NCL,2024,0.1382
Nigeria,NGA,2024,1.312
Panama,PAN,2024,0.4513
Papua New Guinea,PNG,2024,1.0566
Paraguay,PRY,2024,1.3081
Peru,PER,2024,0.85080004
Philippines,PHL,2024,0.5528
Puerto Rico,PRI,2024,0.3168
Rwanda,RWA,2024,1.156
Saint Vincent and the Grenadines,VCT,2024,0.33110002
Samoa,WSM,2024,0.30020002
Sao Tome and Principe,STP,2024,0.055700004
Saudi Arabia,SAU,2024,1.1692001
Sierra Leone,SLE,2024,1.4727
Sri Lanka,LKA,2024,1.0443001
Suriname,SUR,2024,0.021300001
Taiwan,TWN,2024,0.8376
Tanzania,TZA,2024,0.23770002
Thailand,THA,2024,0.53000003
Togo,TGO,2024,0.5159001
Tonga,TON,2024,1.3696
Trinidad and Tobago,TTO,2024,0.14680001
Uganda,UGA,2024,0.54580003
United States,USA,2024,1.3473002
Vanuatu,VUT,2024,0.61050004
Venezuela,VEN,2024,0.3501
Vietnam,VNM,2024,2.9699001
Yemen,YEM,2024,0.71470004
Zambia,ZMB,2024,1.0824001
Zimbabwe,ZWE,2024,0.8171